filename,variable,missing_percent,test_result,r_value,verdict
APRIL_2018.CSV,c32_job_search_method,99.1,Insufficient Data,,Potential MNAR (Drop)
APRIL_2018.CSV,first_time_to_look_for_work,99.1,Insufficient Data,,Potential MNAR (Drop)
APRIL_2018.CSV,c33_number_of_weeks_spent_in_looking_for_work,99.1,Insufficient Data,,Potential MNAR (Drop)
APRIL_2018.CSV,c35_when_last_looked_for_work,98.86,Insufficient Data,,Potential MNAR (Drop)
APRIL_2018.CSV,c27_number_of_jobs_during_the_past_week,96.98,Insufficient Data,,Potential MNAR (Drop)
APRIL_2018.CSV,c37_willingness_to_take_up_work_during_the_past_week_or_withing_two_weeks,96.2,Insufficient Data,,Potential MNAR (Drop)
APRIL_2018.CSV,available_for_work,96.2,Insufficient Data,,Potential MNAR (Drop)
APRIL_2018.CSV,previous_occupation,85.35,Insufficient Data,,Potential MNAR (Drop)
APRIL_2018.CSV,c29_reasons_for_working_more_than_48_hours_during_the_past_week,79.08,Insufficient Data,,Potential MNAR (Drop)
APRIL_2018.CSV,c25_basic_pay_per_day_(primary_occupation),79.04,Insufficient Data,,Potential MNAR (Drop)
APRIL_2018.CSV,c24_basis_of_payment_(primary_occupation),76.78,Insufficient Data,,Potential MNAR (Drop)
APRIL_2018.CSV,c34_reason_for_not_looking_for_work,71.97,Insufficient Data,,Potential MNAR (Drop)
APRIL_2018.CSV,looked_for_work_or_tried_to_establish_business_during_the_past_week,71.07,Insufficient Data,,Potential MNAR (Drop)
APRIL_2018.CSV,previous_job_indicator,71.07,Insufficient Data,,Potential MNAR (Drop)
APRIL_2018.CSV,kind_of_business_(past_quarter),64.7,Insufficient Data,,Potential MNAR (Drop)
APRIL_2018.CSV,c22_first_time_to_work,61.39,Insufficient Data,,Potential MNAR (Drop)
APRIL_2018.CSV,look_for_additional_work,61.39,Insufficient Data,,Potential MNAR (Drop)
APRIL_2018.CSV,c19_total_number_of_hours_worked_during_the_past_week,61.39,Insufficient Data,,Potential MNAR (Drop)
APRIL_2018.CSV,c17_nature_of_employment_(primary_occupation),61.39,Insufficient Data,,Potential MNAR (Drop)
APRIL_2018.CSV,normal_working_hours_per_day,61.39,Insufficient Data,,Potential MNAR (Drop)
APRIL_2018.CSV,total_hours_worked_for_all_jobs,61.39,Insufficient Data,,Potential MNAR (Drop)
